PRSPheno	SampleSize	pheno	meanp	meanratio	sdratio	meanr2	cvr2	meanthresh	meanlogp	sdthresh	sdlogp	sdsnp	meansnp	lower	upper
1	GPpsy	DS_100K	abletoconfide.baseline	0.0497419695	0.0386706357540785	0.0252494046145804	0.00023450858	0.470055979430578	0.2801	0.879588001734408	0.29353040728347	0.814991614253011	39511.0710302259	64093.8	-0.0108181972904991	0.088159468798656
2	GPpsy	DS_100K	agefirstsex.baseline	0.026760614	0.0368464851295511	0.0160495729023274	0.00023799092	0.504199807663023	0.4101	0.842596873227228	0.432458206073142	0.921935429895368	54137.7118456052	72705.1	0.00538932224098949	0.0683036480181127
3	GPpsy	DS_100K	alcoholfreq.baseline	0.021216175602	0.0559826667940214	0.0522434244963315	0.0003051828	0.708873713012596	0.27	0.722184874961636	0.286937856222098	0.353652283440615	34538.4095189689	64086.9	-0.0464144452187883	0.158379778806831
4	GPpsy	DS_100K	alevels.baseline	0.102445562072	0.0663264891828002	0.0600623526711644	0.00034950761	0.857366848456868	0.3201	0.861978875828839	0.36747802655397	0.837257663738451	43763.8377213425	65942.1	-0.0513957220526819	0.184048700418282
5	GPpsy	DS_100K	averageatage10.baseline	0.048180164	0.0435192768205894	0.0394609726548904	0.00024334843	0.597417234607012	0.1253	1.5397940008672	0.156525503779203	1.06320548164246	35822.0190362483	36323.5	-0.0338242295829959	0.120862783224175
6	GPpsy	DS_100K	college.baseline	0.00289141191429	0.1051893432173	0.0856445714388414	0.0005949399	0.570612453642928	0.455	0.464781748188864	0.323565208952453	0.384164025796519	36039.9544125066	90058.5	-0.0626740168028287	0.273052703237429
7	GPpsy	DS_100K	currentsmoking.baseline	0.019921239175	0.0950648890204128	0.0566289008907631	0.0006044443	0.596749770186462	0.26	0.769897000433602	0.290402020194993	0.408629078288162	36257.3484580865	61636.1	-0.0159277567254829	0.206057534766309
8	GPpsy	DS_100K	DepAll	1.196989814461e-06	1.02981471122255	0.521679569942179	0.006207356	0.287790519041157	0.305	0.674472749489669	0.285238691469287	0.39831351301604	36358.781439824	69896.7	0.00732275413588201	2.05230666830923
9	GPpsy	DS_100K	educatedyrs	0.002447360725	0.134852295055389	0.0539914802459035	0.0008451561	0.34438031926309	0.305	0.722184874961636	0.295757032413808	0.475139747996947	40353.9929958748	68305.4	0.0290289937734179	0.24067559633736
10	GPpsy	DS_100K	educationage.baseline	0.0236837564	0.0642353225262645	0.0411306750923422	0.00038071228	0.462192970497181	0.4301	0.7	0.352789030441707	0.883098867771375	45870.7617450012	82884.2	-0.0163808006547262	0.144851445707255
11	GPpsy	DS_100K	eversmoked.baseline	0.0028336796702	0.0846919277789745	0.0367265975133357	0.0005572766	0.491456653234175	0.1351	1.15228787452803	0.12692119164619	0.724237621436674	28363.5936621813	42396.1	0.0127077966528366	0.156676058905112
12	GPpsy	DS_100K	familyhappiness.baseline	0.004731818072	0.179136733723282	0.0621334198066976	0.0012234766	0.46067993473224	0.2451	1.0301029995664	0.312118371419847	0.830291088678356	44097.6660230196	54981.7	0.0573552309021549	0.300918236544409
13	GPpsy	DS_100K	father.age	0.099226048	0.0718153121825449	0.0311038574866496	0.0005022349	0.551494930426623	0.2702	1.1397940008672	0.315334319942079	1.06926480876457	47805.8545884637	58248.4	0.0108517515087116	0.132778872856378
14	GPpsy	DS_100K	father.severedepression	0.03896654023	0.186035068147402	0.141473451839554	0.0011365709	0.635065838995879	0.3051	0.792081875395238	0.186082687713464	0.833855307751101	36502.3670899117	73298.5	-0.0912528974581229	0.463323033752927
15	GPpsy	DS_100K	financehappiness.baseline	0.01207956793	0.144963024090051	0.0694942574715059	0.0009002104	0.525504734348884	0.185	0.874472749489669	0.147290340635238	0.379257771968664	29675.4145484477	53396.2	0.00875427944589893	0.281171768734202
16	GPpsy	DS_100K	getupmorning.baseline	0.019354714145	0.0535091463914867	0.0350528855210298	0.00033649985	0.741307204432907	0.1501	1.09208187539524	0.124588611928307	0.735436864897916	28068.6901544922	46181.9	-0.0151945092297318	0.122212802012705
17	GPpsy	DS_100K	GPpsy	8.09141788341652e-24	0.874955645062275	0.295805590597872	0.005322573	0.135021813203572	0.45	0.441566877563247	0.313581462037113	0.310267814847921	32276.9676911158	90710	0.295176687490445	1.4547346026341
18	GPpsy	DS_100K	happiness.baseline	0.002417763577	0.185612657717814	0.0752620210545087	0.0011748423	0.374500898934415	0.235	0.852287874528034	0.293494274030838	0.438989804729305	37844.8912002077	56114.2	0.038099096450977	0.333126218984651
19	GPpsy	DS_100K	healthhappiness.baseline	0.01010376203761	0.224409402221301	0.129422591919163	0.0013474921	0.611569678708292	0.31	0.8	0.379912270574844	0.527698417963915	46184.0252612668	62803	-0.0292588779402582	0.478077682382859
