Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	PRSPheno	SampleSize	prs.test	MDD.R2	ratio
1	-	Base	0.001	0.000329049	0.00101239	0.00068334	-	-55.8542	17.0171	0.00103093	935	abletoconfide.baseline	downsample.GPpsy.50k	1	GPpsy	DS_50K	downsample.GPpsy.50k:1	0.000751992	0.437569814572495
2	-	Base	0.1	8.16063e-05	0.00103443	0.000952827	-	-232.756	142.434	0.102241	37711	abletoconfide.baseline	downsample.GPpsy.50k	2	GPpsy	DS_50K	downsample.GPpsy.50k:2	0.0053728	0.0151887842465753
3	-	Base	0.1	9.50692e-05	0.0010332	0.000938134	-	-251.634	142.534	0.0775011	37873	abletoconfide.baseline	downsample.GPpsy.50k	3	GPpsy	DS_50K	downsample.GPpsy.50k:3	0.00348236	0.0273002216887398
4	-	Base	0.05	4.39693e-05	0.00123746	0.00119349	-	-126.295	105.091	0.229463	22798	abletoconfide.baseline	downsample.GPpsy.50k	4	GPpsy	DS_50K	downsample.GPpsy.50k:4	0.00706205	0.00622613830261751
5	-	Base	0.5	7.70404e-05	0.000918363	0.000841323	-	-480.916	302.685	0.112108	105776	abletoconfide.baseline	downsample.GPpsy.50k	5	GPpsy	DS_50K	downsample.GPpsy.50k:5	0.00431543	0.0178523113571533
6	-	Base	0.2	7.13181e-05	0.00166654	0.00159522	-	-299.345	195.927	0.126563	61039	abletoconfide.baseline	downsample.GPpsy.50k	6	GPpsy	DS_50K	downsample.GPpsy.50k:6	0.00164078	0.0434659735004083
7	-	Base	1	0.000365034	0.00107435	0.000709318	-	-1344.35	388.811	0.000545723	138679	abletoconfide.baseline	downsample.GPpsy.50k	7	GPpsy	DS_50K	downsample.GPpsy.50k:7	0.00300662	0.12141008840492
8	-	Base	0.2	0.000143853	0.00114091	0.000997058	-	-427.095	196.778	0.0299807	61105	abletoconfide.baseline	downsample.GPpsy.50k	8	GPpsy	DS_50K	downsample.GPpsy.50k:8	0.00310125	0.0463854897218863
9	-	Base	0.1	6.47806e-05	0.000972295	0.000907514	-	-205.468	141.056	0.145224	37738	abletoconfide.baseline	downsample.GPpsy.50k	9	GPpsy	DS_50K	downsample.GPpsy.50k:9	0.00773977	0.00836983527934293
10	-	Base	0.001	0.000109918	0.00139981	0.00128989	-	-31.8575	16.7813	0.0576539	919	abletoconfide.baseline	downsample.GPpsy.50k	10	GPpsy	DS_50K	downsample.GPpsy.50k:10	0.00127153	0.0864454633394414
