Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
1	-	Base	1	0.000261318	0.000944658	0.00068334	-	-7977.08	2727.31	0.00344811	116103	abletoconfide.baseline	Auto-ImpOnly	1	Auto-ImpOnly:1	0.00732606	0.0356696505352127
2	-	Base	1	0.000497083	0.00144991	0.000952827	-	-10985.9	2723.35	5.49718e-05	116103	abletoconfide.baseline	Auto-ImpOnly	2	Auto-ImpOnly:2	0.0019489	0.255058237980399
3	-	Base	1	0.000676887	0.00161502	0.000938134	-	-12943.6	2746.89	2.4618e-06	116103	abletoconfide.baseline	Auto-ImpOnly	3	Auto-ImpOnly:3	0.0148448	0.0455975829920241
4	-	Base	1	0.00035302	0.00154651	0.00119349	-	-9453.07	2775.62	0.000660619	116103	abletoconfide.baseline	Auto-ImpOnly	4	Auto-ImpOnly:4	0.0165877	0.0212820342784111
5	-	Base	1	0.000186388	0.00102771	0.000841323	-	-6626.01	2681.02	0.0134616	116103	abletoconfide.baseline	Auto-ImpOnly	5	Auto-ImpOnly:5	0.00757765	0.0245970716515015
6	-	Base	1	0.000238147	0.00183337	0.00159522	-	-7686.16	2752.79	0.00523926	116103	abletoconfide.baseline	Auto-ImpOnly	6	Auto-ImpOnly:6	0.0106043	0.0224575879596013
7	-	Base	1	0.000830406	0.00153972	0.000709318	-	-14308	2743.01	1.83751e-07	116103	abletoconfide.baseline	Auto-ImpOnly	7	Auto-ImpOnly:7	0.00875058	0.0948972525249755
8	-	Base	1	0.000322987	0.00132005	0.000997058	-	-8904.04	2737.58	0.00114504	116103	abletoconfide.baseline	Auto-ImpOnly	8	Auto-ImpOnly:8	0.00980753	0.0329325528446
9	-	Base	1	0.000240687	0.0011482	0.000907514	-	-7690.42	2738.76	0.00498808	116103	abletoconfide.baseline	Auto-ImpOnly	9	Auto-ImpOnly:9	0.0108541	0.0221747542403331
10	-	Base	1	4.3993e-05	0.00133388	0.00128989	-	-3257.4	2712.34	0.229776	116103	abletoconfide.baseline	Auto-ImpOnly	10	Auto-ImpOnly:10	0.00666598	0.00659962976186547
11	-	Base	1	0.000387168	0.00107051	0.00068334	-	-9884.63	2776.24	0.000370768	116103	abletoconfide.baseline	Auto-ImpAll	1	Auto-ImpAll:1	0.0105138	0.0368247446213548
12	-	Base	1	0.000288739	0.00124157	0.000952827	-	-8608.55	2800.32	0.00211287	116103	abletoconfide.baseline	Auto-ImpAll	2	Auto-ImpAll:2	0.0039762	0.0726168200794729
13	-	Base	1	0.000882427	0.00182056	0.000938134	-	-15102.2	2806.73	7.46945e-08	116103	abletoconfide.baseline	Auto-ImpAll	3	Auto-ImpAll:3	0.018512	0.0476678370786517
14	-	Base	1	0.00057312	0.00176661	0.00119349	-	-12279.3	2829.38	1.4295e-05	116103	abletoconfide.baseline	Auto-ImpAll	4	Auto-ImpAll:4	0.0217962	0.0262944917003881
15	-	Base	1	0.000311765	0.00115309	0.000841323	-	-8816.46	2758.1	0.00139206	116103	abletoconfide.baseline	Auto-ImpAll	5	Auto-ImpAll:5	0.0102277	0.0304824154013121
16	-	Base	1	0.00047761	0.00207283	0.00159522	-	-11095.7	2805.77	7.68269e-05	116103	abletoconfide.baseline	Auto-ImpAll	6	Auto-ImpAll:6	0.0165399	0.0288762326253484
17	-	Base	1	0.000904954	0.00161427	0.000709318	-	-15193.1	2790.04	5.20322e-08	116103	abletoconfide.baseline	Auto-ImpAll	7	Auto-ImpAll:7	0.0120507	0.0750955546150846
18	-	Base	1	0.000279141	0.0012762	0.000997058	-	-8430.4	2788.17	0.00249952	116103	abletoconfide.baseline	Auto-ImpAll	8	Auto-ImpAll:8	0.0169171	0.0165005231393087
19	-	Base	1	0.000243548	0.00115106	0.000907514	-	-7869.67	2786.08	0.0047363	116103	abletoconfide.baseline	Auto-ImpAll	9	Auto-ImpAll:9	0.0164276	0.0148255375100441
20	-	Base	1	0.000146435	0.00143632	0.00128989	-	-6087.31	2778.08	0.0284451	116103	abletoconfide.baseline	Auto-ImpAll	10	Auto-ImpAll:10	0.0140564	0.0104176745112547
21	-	Base	1	0.00024098	0.00092432	0.00068334	-	1629.31	580.085	0.00497651	116103	abletoconfide.baseline	LifetimeMDD	1	LifetimeMDD:1	0.00413299	0.058306456100789
22	-	Base	1	7.49994e-07	0.000953577	0.000952827	-	-91.0151	581	0.87552	116103	abletoconfide.baseline	LifetimeMDD	2	LifetimeMDD:2	0.00184968	0.00040547229791099
23	-	Base	1	0.000207147	0.00114528	0.000938134	-	1514.12	580.987	0.00916161	116103	abletoconfide.baseline	LifetimeMDD	3	LifetimeMDD:3	0.00514423	0.0402678340587415
24	-	Base	1	0.000236791	0.00143028	0.00119349	-	1628.93	584.025	0.00528793	116103	abletoconfide.baseline	LifetimeMDD	4	LifetimeMDD:4	0.00607482	0.0389790973230483
25	-	Base	1	9.8485e-05	0.000939808	0.000841323	-	990.857	551.572	0.0724364	106880	abletoconfide.baseline	LifetimeMDD	5	LifetimeMDD:5	0.00201922	0.0487737839363715
26	-	Base	1	0.000249403	0.00184462	0.00159522	-	1656.61	579.769	0.00427441	116103	abletoconfide.baseline	LifetimeMDD	6	LifetimeMDD:6	0.00634744	0.0392919035075558
27	-	Base	1	7.6357e-05	0.000785675	0.000709318	-	924.495	584.704	0.113857	116103	abletoconfide.baseline	LifetimeMDD	7	LifetimeMDD:7	0.00553616	0.0137924120690153
28	-	Base	1	1.46438e-06	0.000998523	0.000997058	-	127.436	581.98	0.826675	116103	abletoconfide.baseline	LifetimeMDD	8	LifetimeMDD:8	0.0100526	0.000145671766508167
29	-	Base	1	2.34113e-06	0.000909855	0.000907514	-	159.225	575.016	0.781855	116103	abletoconfide.baseline	LifetimeMDD	9	LifetimeMDD:9	0.00712439	0.000328607782561033
30	-	Base	1	0.000158632	0.00144852	0.00128989	-	1322.1	579.704	0.0225761	116103	abletoconfide.baseline	LifetimeMDD	10	LifetimeMDD:10	0.00847227	0.0187236714599511
31	-	Base	1	0.000293132	0.000976472	0.00068334	-	-7349.44	2372.41	0.00195076	110745	abletoconfide.baseline	Soft-ImpOnly	1	Soft-ImpOnly:1	0.00828661	0.0353741759296021
32	-	Base	1	0.000117124	0.00106995	0.000952827	-	-4774.98	2439.02	0.0502686	116103	abletoconfide.baseline	Soft-ImpOnly	2	Soft-ImpOnly:2	0.00393597	0.0297573406301369
33	-	Base	1	0.000625712	0.00156385	0.000938134	-	-11075.1	2444.65	5.90908e-06	116103	abletoconfide.baseline	Soft-ImpOnly	3	Soft-ImpOnly:3	0.0107091	0.0584280658505383
34	-	Base	1	0.00035605	0.00154954	0.00119349	-	-8399.25	2455.68	0.000626195	116103	abletoconfide.baseline	Soft-ImpOnly	4	Soft-ImpOnly:4	0.0144168	0.0246968814161256
35	-	Base	1	0.000252467	0.00109379	0.000841323	-	-6915.78	2404.26	0.00402411	116103	abletoconfide.baseline	Soft-ImpOnly	5	Soft-ImpOnly:5	0.00531333	0.0475157763587054
36	-	Base	1	0.000510646	0.00210587	0.00159522	-	-9991.54	2443.43	4.34006e-05	116103	abletoconfide.baseline	Soft-ImpOnly	6	Soft-ImpOnly:6	0.0106193	0.048086597045003
