Phenotype	Set	Threshold	PRS.R2	Full.R2	Null.R2	Prevalence	Coefficient	Standard.Error	P	Num_SNP	pheno	prs	test	prs.test	MDD.R2	ratio
1	-	Base	1	0.000327953	0.00101129	0.00068334	-	-8023.31	2448.54	0.00105111	91279	abletoconfide.baseline	Auto-ImpOnly	1	Auto-ImpOnly:1	0.0113913	0.0287897781640375
2	-	Base	1	0.00062455	0.00157738	0.000952827	-	-10941.2	2419.56	6.14834e-06	91307	abletoconfide.baseline	Auto-ImpOnly	2	Auto-ImpOnly:2	0.00707217	0.088310942751659
3	-	Base	1	0.000591083	0.00152922	0.000938134	-	-10752.2	2441.95	1.07035e-05	91294	abletoconfide.baseline	Auto-ImpOnly	3	Auto-ImpOnly:3	0.0144335	0.0409521599057748
4	-	Base	1	0.000496445	0.00168993	0.00119349	-	-9903.95	2452.05	5.37894e-05	91283	abletoconfide.baseline	Auto-ImpOnly	4	Auto-ImpOnly:4	0.0200036	0.0248177827990962
5	-	Base	1	0.00017498	0.0010163	0.000841323	-	-5737.32	2395.94	0.0166438	91208	abletoconfide.baseline	Auto-ImpOnly	5	Auto-ImpOnly:5	0.00741382	0.023601867862991
6	-	Base	1	0.000491264	0.00208648	0.00159522	-	-9780.91	2438.67	6.0661e-05	91315	abletoconfide.baseline	Auto-ImpOnly	6	Auto-ImpOnly:6	0.0159897	0.0307237784323658
7	-	Base	1	0.00116415	0.00187347	0.000709318	-	-15043	2435.28	6.60561e-10	91268	abletoconfide.baseline	Auto-ImpOnly	7	Auto-ImpOnly:7	0.00879752	0.132327064900108
8	-	Base	1	0.000970641	0.0019677	0.000997058	-	-13847.8	2455.18	1.71215e-08	91211	abletoconfide.baseline	Auto-ImpOnly	8	Auto-ImpOnly:8	0.0113294	0.085674528218617
9	-	Base	1	0.000159119	0.00106663	0.000907514	-	-5526.6	2420.72	0.0224345	91243	abletoconfide.baseline	Auto-ImpOnly	9	Auto-ImpOnly:9	0.0137731	0.011552882067218
10	-	Base	1	0.000219437	0.00150933	0.00128989	-	-6455.78	2406.69	0.0073125	91177	abletoconfide.baseline	Auto-ImpOnly	10	Auto-ImpOnly:10	0.00809323	0.027113649309361
11	-	Base	1	0.000511788	0.00119513	0.00068334	-	-10098.3	2466.74	4.25406e-05	91279	abletoconfide.baseline	Auto-ImpAll	1	Auto-ImpAll:1	0.0162222	0.0315486185597515
